,timesteps,epochs,batch_size,filters,kernel_size,pool_size,loss_mae,loss_rmse
0,7,10,10,16,5,2,0.2965373396873474,0.43470680713653564
1,7,10,7,16,5,2,0.3030255138874054,0.4384603500366211
2,7,10,5,16,5,2,0.3008924424648285,0.4298832416534424
3,7,10,2,16,5,2,0.32203206419944763,0.4497486352920532
4,6,10,10,16,5,2,0.2921997308731079,0.416433185338974
5,6,10,7,16,5,2,0.2882224917411804,0.4137814939022064
6,6,10,5,16,5,2,0.30977508425712585,0.4454520642757416
7,6,10,2,16,5,2,0.3125359117984772,0.42653024196624756
8,5,10,10,16,5,2,0.30312973260879517,0.41538670659065247
9,5,10,7,16,5,2,0.2840321958065033,0.4036618173122406
10,5,10,5,16,5,2,0.30389404296875,0.42499351501464844
11,5,10,2,16,5,2,0.32230067253112793,0.4394717216491699
12,7,20,10,16,5,2,0.2952360212802887,0.42584168910980225
13,7,20,7,16,5,2,0.28770697116851807,0.416948527097702
14,7,20,5,16,5,2,0.28435662388801575,0.4126920700073242
15,7,20,2,16,5,2,0.3273136019706726,0.4499399662017822
16,6,20,10,16,5,2,0.29056602716445923,0.4127275049686432
17,6,20,7,16,5,2,0.28712785243988037,0.41481876373291016
18,6,20,5,16,5,2,0.28043270111083984,0.4094187319278717
19,6,20,2,16,5,2,0.3090350925922394,0.42455148696899414
20,5,20,10,16,5,2,0.2876420319080353,0.40635085105895996
21,5,20,7,16,5,2,0.2831742763519287,0.39955201745033264
22,5,20,5,16,5,2,0.2893483340740204,0.41186222434043884
23,5,20,2,16,5,2,0.3188796043395996,0.4297207295894623
